Виселица #
ТЗ проекта

366 реализаций на Java, Python, Go, Kotlin, PHP, C#, Rust, Gleam, OCaml, Prolog. 227 ревью.

Присылайте ваши реализации в чат сообщества - @zhukovsd_it_chat.

Репозиторий	Автор	Язык	Ревью	Автор ревью
WordCompositor	immagixe	Java		
project_hanged	PavelFurochkin	Python		
pet-project-0-hangman	krios2146	Java		
Hangman	NovikovP	Java	🎬 Видео, 📝 Заметки	Сергей @zhukovsd
Hangman	belgrano82	Java	🎬 Видео, 📝 Заметки	Сергей @zhukovsd
gallows	AntoNeo174	Java	🎬 Видео, 📝 Заметки	Сергей @zhukovsd
Hangman	u-cha	Python	🎬 Видео, 📝 Заметки	Сергей @zhukovsd
hangman	kopyshov	Java	🎬 Видео, 📝 Заметки	Сергей @zhukovsd
gallows	dublXq	Java	🎬 Видео, 📝 Заметки	Сергей @zhukovsd
word_game	garaninnv	Java	🎬 Видео, 📝 Заметки	Сергей @zhukovsd
Word_game_new	madriot1337	Java	🎬 Видео, 📝 Заметки	Сергей @zhukovsd
hangman_game	egovoryn	Java	🎬 #1, 🎬 #2, 📝 #3	Сергей @zhukovsd
Hangman-in-Kotlin	belgrano82	Kotlin	🎬 Видео, 📝 Заметки	Сергей @zhukovsd
hangman	Kostiku	Java	🎬 Видео, 📝 Заметки	Сергей @zhukovsd
Pet_projects/Gallows	NazarovIlya	C#	🎬 Видео, 📝 Заметки	Сергей @zhukovsd
gallows-console	LastOfWhom	PHP	🎬 Видео, 📝 Заметки	Сергей @zhukovsd
newGallow	RomanV79	Java		
Hangman	ekataeva	Python	🎬 Видео, 📝 Заметки	Сергей @zhukovsd
hangman	halftimedeus	Java		
hangman	RuddyPanta	Java		
HangmanGame	MaksimIrkha	Java		
Gallows	Lissaveta2610	Java		
Hangman	alshevskiy	Java		
Hangman-game	Matvey-STE	Java		
Hangman	d-klokov	Java		
gallows	nikron173	Java		
HangmanGame	feduuusha	Python	📝 Заметки	Сергей @zhukovsd
Hangman-game	Airat163	Java		
Hangman-game	grishuchkov	Java		
Hangman	istominrs	Java		
Hungman_python	Drowchik	Python		
HangMan	Restout	Java		
gallows	Aleksandrov-AE	Java	📝 Заметки	Сергей @zhukovsd
gallows	chskela	Kotlin		
Gallows	IppolitMik	Java		
Gallow_Game	Cxatek18	Java		
Gallows	MrSinkaaa	Java		
hangman	rybin-dev	Java		
hangman	VladimirKokourov	Java		
Hangman	AleksandrS112	Java		
Gallows	dDevusS	Java		
hangman	Victor-Smirnoff	Python		
hangman	swssb	Python		
Gallows-2.0	Smska23	Java		
hangman	Dias77	Python		
hangman	krios2146	Rust		
Hangman	WillSalas2002	Java		
Hangman	Mich4107	Java		
ZhukovsRoadmap	janaridev	Go		
Hangman	anton-kulakov	Java		
Gallows	pas-zhukov	Java		
hangman	mikhail43435	Java		
GallowsGame	NiceBruce	Java		
Hangman	Adam-D-Beno	Java		
Hangman	KostyaDemens	Java		
hangman-php	illyalee	PHP		
HangMan	Layzerg	Java		
pet-project-01-hangman	Jurdio	Java		
Hangman	Badbadr	Java		
Hangman	tendyrir	Java		
Hungman	Igor23232023	Python		
Hangman	Jlumon4ek	Python		
01-project–Handman-game	VictorGotsenko	Java		
scaffold2	SuleymanovSergey	Java		
hungman	VladislavLevchikIsAProger	Java	📝 Заметки	Илья @coderilya
Gallow	EvKnv	Java		
Hangman	Crystaliseddx	Java		
GallowMan	PonyRage	Java		
Hangman	ArturChegur	Java		
Gallows	MatveyRo	Java		
Hangman	YuriyNekludov	Java		
hangman	itvinovanton7	Python		
hangman	IlPl123454	Java	📝 Заметки	Владимир @MaddeningShadow
hagman-v2	grihich	Java		
hangman	SergeyTimofeev1989	Java		
hangman-kotlin	krios2146	Kotlin		
Hangman_Game	AlisaDank	Java		
Hangman	qudest	Java		
BaldaGame	matveev123	Java	
